# Engine-state Press Start frame (not a screenshot).
# After Bootstrap + skip AVI + one frontend Pump.
# viewport=1024x768 widgets=62 batchDraws=223
#
# name type parent visible texture GraphicId X Y W H destX0 destY0 destX1 destY1 U0 V0 U1 V1 colour text textTag glyphs order flags
UI_FRONTEND_BG_FORREST_SUNBEAM_3_2 0 BLENDING_BG_FORREST_SUNBEAM_3 1 FORREST_SUNBEAM_3_2 243 256 0 0 0 410 0 819 410 0 0 1 1 FFFFFFFF - - 0 19 -
UI_FRONTEND_BG_FORREST_SUNBEAM_3_3 0 BLENDING_BG_FORREST_SUNBEAM_3 1 FORREST_SUNBEAM_3_3 244 512 0 0 0 819 0 1024 410 0 0 1 1 FFFFFFFF - - 0 20 -
UI_FRONTEND_BG_FORREST_SUNBEAM_3_4 0 BLENDING_BG_FORREST_SUNBEAM_3 1 FORREST_SUNBEAM_3_4 245 0 256 0 0 0 410 410 819 0 0 1 1 FFFFFFFF - - 0 21 -
UI_FRONTEND_BG_FORREST_SUNBEAM_3_5 0 BLENDING_BG_FORREST_SUNBEAM_3 1 FORREST_SUNBEAM_3_5 246 256 256 0 0 410 410 819 819 0 0 1 1 FFFFFFFF - - 0 22 -
UI_FRONTEND_BG_FORREST_SUNBEAM_3_6 0 BLENDING_BG_FORREST_SUNBEAM_3 1 FORREST_SUNBEAM_3_6 247 512 256 0 0 819 410 1024 819 0 0 1 1 FFFFFFFF - - 0 23 -
UI_SWAPPING_FORREST 18 UI_BLENDING_BACKGROUNDS_FORREST 1 - 0 0 0 0 0 0 0 0 0 0 0 0 0 FFFFFFFF - - 0 24 offscreen,zero-size
BLENDING_BG_FORREST_1 5 UI_SWAPPING_FORREST 1 - 0 0 0 0 0 0 0 0 0 0 0 0 0 FFFFFFFF - - 0 25 offscreen,zero-size
UI_FRONTEND_BG_FORREST_1_1 0 BLENDING_BG_FORREST_1 1 FORREST_1_1 206 0 0 0 0 0 0 410 410 0 0 1 1 FFFFFFFF - - 0 26 -
UI_FRONTEND_BG_FORREST_1_2 0 BLENDING_BG_FORREST_1 1 FORREST_1_2 207 256 0 0 0 410 0 819 410 0 0 1 1 FFFFFFFF - - 0 27 -
UI_FRONTEND_BG_FORREST_1_3 0 BLENDING_BG_FORREST_1 1 FORREST_1_3 208 512 0 0 0 819 0 1024 410 0 0 1 1 FFFFFFFF - - 0 28 -
UI_FRONTEND_BG_FORREST_1_4 0 BLENDING_BG_FORREST_1 1 FORREST_1_4 209 0 256 0 0 0 410 410 819 0 0 1 1 FFFFFFFF - - 0 29 -
UI_FRONTEND_BG_FORREST_1_5 0 BLENDING_BG_FORREST_1 1 FORREST_1_5 210 256 256 0 0 410 410 819 819 0 0 1 1 FFFFFFFF - - 0 30 -
UI_FRONTEND_BG_FORREST_1_6 0 BLENDING_BG_FORREST_1 1 FORREST_1_6 211 512 256 0 0 819 410 1024 819 0 0 1 1 FFFFFFFF - - 0 31 -
BLENDING_BG_FORREST_2 5 UI_SWAPPING_FORREST 1 - 0 0 0 0 0 0 0 0 0 0 0 0 0 00FFFFFF - - 0 32 offscreen,zero-size
UI_FRONTEND_BG_FORREST_2_1 0 BLENDING_BG_FORREST_2 1 FORREST_2_1 212 0 0 0 0 0 0 410 410 0 0 1 1 FFFFFFFF - - 0 33 -
UI_FRONTEND_BG_FORREST_2_2 0 BLENDING_BG_FORREST_2 1 FORREST_2_2 213 256 0 0 0 410 0 819 410 0 0 1 1 FFFFFFFF - - 0 34 -
UI_FRONTEND_BG_FORREST_2_3 0 BLENDING_BG_FORREST_2 1 FORREST_2_3 214 512 0 0 0 819 0 1024 410 0 0 1 1 FFFFFFFF - - 0 35 -
UI_FRONTEND_BG_FORREST_2_4 0 BLENDING_BG_FORREST_2 1 FORREST_2_4 215 0 256 0 0 0 410 410 819 0 0 1 1 FFFFFFFF - - 0 36 -
UI_FRONTEND_BG_FORREST_2_5 0 BLENDING_BG_FORREST_2 1 FORREST_2_5 216 256 256 0 0 410 410 819 819 0 0 1 1 FFFFFFFF - - 0 37 -
UI_FRONTEND_BG_FORREST_2_6 0 BLENDING_BG_FORREST_2 1 FORREST_2_6 217 512 256 0 0 819 410 1024 819 0 0 1 1 FFFFFFFF - - 0 38 -
BLENDING_BG_FORREST_3 5 UI_SWAPPING_FORREST 1 - 0 0 0 0 0 0 0 0 0 0 0 0 0 00FFFFFF - - 0 39 offscreen,zero-size
UI_FRONTEND_BG_FORREST_3_1 0 BLENDING_BG_FORREST_3 1 FORREST_3_1 218 0 0 0 0 0 0 410 410 0 0 1 1 FFFFFFFF - - 0 40 -
UI_FRONTEND_BG_FORREST_3_2 0 BLENDING_BG_FORREST_3 1 FORREST_3_2 219 256 0 0 0 410 0 819 410 0 0 1 1 FFFFFFFF - - 0 41 -
UI_FRONTEND_BG_FORREST_3_3 0 BLENDING_BG_FORREST_3 1 FORREST_3_3 220 512 0 0 0 819 0 1024 410 0 0 1 1 FFFFFFFF - - 0 42 -
UI_FRONTEND_BG_FORREST_3_4 0 BLENDING_BG_FORREST_3 1 FORREST_3_4 221 0 256 0 0 0 410 410 819 0 0 1 1 FFFFFFFF - - 0 43 -
UI_FRONTEND_BG_FORREST_3_5 0 BLENDING_BG_FORREST_3 1 FORREST_3_5 222 256 256 0 0 410 410 819 819 0 0 1 1 FFFFFFFF - - 0 44 -
UI_FRONTEND_BG_FORREST_3_6 0 BLENDING_BG_FORREST_3 1 FORREST_3_6 223 512 256 0 0 819 410 1024 819 0 0 1 1 FFFFFFFF - - 0 45 -
BLENDING_BG_FORREST_4 5 UI_SWAPPING_FORREST 1 - 0 0 0 0 0 0 0 0 0 0 0 0 0 00FFFFFF - - 0 46 offscreen,zero-size
UI_FRONTEND_BG_FORREST_4_1 0 BLENDING_BG_FORREST_4 1 FORREST_4_1 224 0 0 0 0 0 0 410 410 0 0 1 1 FFFFFFFF - - 0 47 -
UI_FRONTEND_BG_FORREST_4_2 0 BLENDING_BG_FORREST_4 1 FORREST_4_2 225 256 0 0 0 410 0 819 410 0 0 1 1 FFFFFFFF - - 0 48 -
UI_FRONTEND_BG_FORREST_4_3 0 BLENDING_BG_FORREST_4 1 FORREST_4_3 226 512 0 0 0 819 0 1024 410 0 0 1 1 FFFFFFFF - - 0 49 -
UI_FRONTEND_BG_FORREST_4_4 0 BLENDING_BG_FORREST_4 1 FORREST_4_4 227 0 256 0 0 0 410 410 819 0 0 1 1 FFFFFFFF - - 0 50 -
UI_FRONTEND_BG_FORREST_4_5 0 BLENDING_BG_FORREST_4 1 FORREST_4_5 228 256 256 0 0 410 410 819 819 0 0 1 1 FFFFFFFF - - 0 51 -
UI_FRONTEND_BG_FORREST_4_6 0 BLENDING_BG_FORREST_4 1 FORREST_4_6 229 512 256 0 0 819 410 1024 819 0 0 1 1 FFFFFFFF - - 0 52 -
UI_TITLE 5 UI_FRONTEND_PRESS_START_MENU 1 - 0 70 30 0 0 112 48 112 48 0 0 0 0 FFFFFFFF - - 0 53 zero-size
UI_TITLE_01 0 UI_TITLE 1 FRONTEND_TITLE_01_SPRITE 3 0 0 0 0 112 48 522 253 0 0 1 1 FFFFFFFF - - 0 54 -
UI_TITLE_02 0 UI_TITLE 1 FRONTEND_TITLE_02_SPRITE 4 256 0 0 0 522 48 931 253 0 0 1 1 FFFFFFFF - - 0 55 -
UI_PRESS_START_SWAP 18 UI_FRONTEND_PRESS_START_MENU 1 - 0 0 0 0 0 0 0 0 0 0 0 0 0 FFFFFFFF - - 0 56 offscreen,zero-size
UI_PRESS_START_TEXT 6 UI_PRESS_START_SWAP 1 - 0 320 240 0 0 512 384 512 384 0 0 1 1 FFFFFFFF "Press Left Mouse Button To Continue" TEXT_GUI_MENU_PRESS_BUTTON 35 57 zero-size
UI_FRONTEND_LIST_PRESS_START_MENU 12 UI_FRONTEND_PRESS_START_MENU 1 - 0 200 200 0 0 320 320 320 320 0 0 0 0 FFFFFFFF - - 0 58 zero-size
UI_FRONTEND_BUTTON_INVISIBLE 11 UI_FRONTEND_LIST_PRESS_START_MENU 1 - 0 0 0 0 0 320 320 320 320 0 0 0 0 FFFFFFFF - - 0 59 zero-size
UI_LEGAL_TEXT 6 UI_FRONTEND_PRESS_START_MENU 1 - 0 320 340 0 0 512 544 512 544 0 0 0.883 0.773 FFFFFFFF "Fable: The Lost Chapters © 2005 Lionhead Studios Ltd.  (P) 2005 Microsoft Corporation.  All rights reserved.  Developed by Lionhead Studios Ltd." TEXT_GUI_MENU_LEGAL 143 60 zero-size
UI_MOUSE_POINTER 32 UI_FRONTEND_PRESS_START_MENU 1 MOUSE_POINTER_SPRITE_FE 362 0 0 0 0 0 0 32 32 0.641 0 0.66 0.129 FFFFFFFF - - 0 61 -
#
# flags offscreen=12 zero-size=17 child-dest-misses-parent=0 invalid-uv=0 invalid-glyph-advance=0
